accident_no,accident_date,accident_time,day_week_desc,accident_type_desc,severity,speed_zone,rma,road_geometry_desc,lga_name,latitude,longitude,postcode_crash,age_group,sex,inj_level_desc,no_persons_killed,no_persons_inj_2,no_persons_inj_3,year,month,severity_desc
T20140018363,2014-09-04,17:45:00,Thursday,Collision with vehicle,3,40,Arterial Other,T intersection,YARRA,-37.80008,144.99538,3067,22-25,F,Other injury,0,0,1,2014,9,Other Injury
T20200002978,2020-02-08,07:00:00,Saturday,Collision with vehicle,2,50,Local Road,T intersection,BANYULE,-37.731915,145.12543,3093,30-39,M,Serious injury,0,1,0,2020,2,Serious Injury
T20240001785,2024-01-23,17:00:00,Tuesday,Struck Pedestrian,2,40,Local Road,Not at intersection,MELBOURNE,-37.81156,144.96709,3000,40-49,M,Not injured,0,1,0,2024,1,Serious Injury
T20140005556,2014-03-18,09:00:00,Tuesday,Collision with vehicle,2,50,Local Road,Not at intersection,MOONEE VALLEY,-37.73576,144.9181,3041,70+,F,Serious injury,0,1,0,2014,3,Serious Injury
T20130009322,2013-05-03,19:00:00,Friday,Collision with vehicle,2,40,Arterial Other,Cross intersection,YARRA,-37.815895,144.99966,3121,50-59,M,Serious injury,0,2,0,2013,5,Serious Injury
T20230020519,2023-08-16,17:00:00,Wednesday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.81538,144.95924,3000,30-39,F,Other injury,0,0,1,2023,8,Other Injury
T20210013033,2021-06-13,12:00:00,Sunday,Collision with vehicle,3,60,Arterial Other,T intersection,DANDENONG,-37.974354,145.1857,3174,40-49,M,Other injury,0,0,1,2021,6,Other Injury
T20190011767,2019-06-25,08:25:00,Tuesday,Collision with vehicle,3,60,Arterial Other,Not at intersection,GLEN EIRA,-37.882088,145.0229,3162,40-49,M,Other injury,0,0,1,2019,6,Other Injury
T20250014247,2025-05-28,09:00:00,Wednesday,Collision with vehicle,3,50,Local Road,Cross intersection,NILLUMBIK,-37.722095,145.14105,3095,13-15,M,Other injury,0,0,1,2025,5,Other Injury
T20250005106,2025-02-25,18:00:00,Tuesday,Collision with vehicle,3,60,Local Road,Not at intersection,KINGSTON,-37.96027,145.07207,3192,50-59,F,Other injury,0,0,1,2025,2,Other Injury
T20210007262,2021-03-27,16:00:00,Saturday,Collision with vehicle,2,60,Arterial Other,Not at intersection,BAYSIDE,-37.96932,145.01195,3193,60-64,M,Serious injury,0,1,0,2021,3,Serious Injury
T20230028246,2023-11-30,08:30:00,Thursday,Collision with vehicle,3,50,Local Road,Cross intersection,MORELAND,-37.758755,144.96545,3056,40-49,M,Other injury,0,0,1,2023,11,Other Injury
T20150021078,2015-10-12,14:25:00,Monday,Collision with vehicle,2,50,Local Road,Cross intersection,MELBOURNE,-37.80816,144.96875,3000,40-49,M,Serious injury,0,1,0,2015,10,Serious Injury
T20150021078,2015-10-12,14:25:00,Monday,Collision with vehicle,2,50,Local Road,Cross intersection,MELBOURNE,-37.80816,144.96875,3000,40-49,M,Serious injury,0,1,0,2015,10,Serious Injury
T20130012478,2013-06-11,08:55:00,Tuesday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.80995,144.96262,3000,26-29,M,Other injury,0,0,1,2013,6,Other Injury
T20130012478,2013-06-11,08:55:00,Tuesday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.80995,144.96262,3000,26-29,M,Other injury,0,0,1,2013,6,Other Injury
T20160020406,2016-09-19,08:00:00,Monday,Collision with vehicle,2,999,Arterial Other,Not at intersection,DAREBIN,-37.781147,144.99767,3070,50-59,M,Serious injury,0,1,1,2016,9,Serious Injury
T20240014533,2024-06-07,07:30:00,Friday,Collision with vehicle,3,60,Arterial Highway,T intersection,PORT PHILLIP,-37.862495,144.98514,3182,40-49,F,Other injury,0,0,1,2024,6,Other Injury
T20170002620,2017-02-08,23:00:00,Wednesday,Collision with vehicle,2,40,Local Road,T intersection,MELBOURNE,-37.802814,144.96657,3053,22-25,F,Serious injury,0,1,1,2017,2,Serious Injury
T20120012851,2012-06-01,20:12:00,Friday,Collision with vehicle,3,60,Arterial Other,Not at intersection,PORT PHILLIP,-37.83522,144.95598,3205,40-49,M,Other injury,0,0,1,2012,6,Other Injury
T20170018498,2017-09-27,18:12:00,Wednesday,Collision with vehicle,2,50,Local Road,Cross intersection,BRIMBANK,-37.728947,144.773,3021,50-59,M,Serious injury,0,1,0,2017,9,Serious Injury
T20190023758,2019-11-27,12:15:00,Wednesday,Collision with vehicle,2,40,Local Road,Cross intersection,DAREBIN,-37.769344,144.99902,3070,30-39,F,Serious injury,0,1,0,2019,11,Serious Injury
T20240012090,2024-05-12,17:42:00,Sunday,Collision with vehicle,2,40,Arterial Other,Not at intersection,STONNINGTON,-37.855415,145.01988,3143,18-21,M,Serious injury,0,1,0,2024,5,Serious Injury
T20150003894,2015-02-23,07:45:00,Monday,Collision with vehicle,2,40,Local Road,Not at intersection,MELBOURNE,-37.80966,144.97125,3000,40-49,M,Serious injury,0,1,0,2015,2,Serious Injury
T20120024942,2012-11-05,08:31:00,Monday,Collision with vehicle,3,40,Arterial Other,T intersection,MORELAND,-37.77234,144.96123,3056,30-39,U,Other injury,0,0,1,2012,11,Other Injury
T20170005760,2017-03-22,07:50:00,Wednesday,Collision with vehicle,3,60,Local Road,Not at intersection,MARIBYRNONG,-37.786983,144.88976,3032,40-49,F,Other injury,0,0,1,2017,3,Other Injury
T20160018771,2016-08-26,17:50:00,Friday,Collision with vehicle,3,60,Local Road,Cross intersection,MARIBYRNONG,-37.79461,144.87967,3012,40-49,F,Other injury,0,0,1,2016,8,Other Injury
T20150000991,2015-01-14,13:30:00,Wednesday,Collision with vehicle,3,60,Arterial Other,T intersection,WHITEHORSE,-37.82625,145.09993,3127,30-39,M,Other injury,0,0,1,2015,1,Other Injury
T20180006000,2018-03-29,17:40:00,Thursday,Collision with vehicle,3,50,Local Road,Cross intersection,BANYULE,-37.71442,145.09335,3088,30-39,M,Other injury,0,0,1,2018,3,Other Injury
